State,Date,Death,Dates
Nevada,3/15/20,0,2020-03-15
New Hampshire,3/15/20,0,2020-03-15
New Jersey,3/15/20,1,2020-03-15
New Mexico,3/15/20,0,2020-03-15
New York,3/15/20,5,2020-03-15
North Carolina,3/15/20,0,2020-03-15
North Dakota,3/15/20,0,2020-03-15
Northern Mariana Islands,3/15/20,0,2020-03-15
Ohio,3/15/20,0,2020-03-15
Oklahoma,3/15/20,0,2020-03-15
Oregon,3/15/20,1,2020-03-15
Pennsylvania,3/15/20,0,2020-03-15
Puerto Rico,3/15/20,0,2020-03-15
Rhode Island,3/15/20,0,2020-03-15
South Carolina,3/15/20,0,2020-03-15
South Dakota,3/15/20,0,2020-03-15
Tennessee,3/15/20,0,2020-03-15
Texas,3/15/20,0,2020-03-15
Utah,3/15/20,0,2020-03-15
Vermont,3/15/20,0,2020-03-15
Virgin Islands,3/15/20,0,2020-03-15
Virginia,3/15/20,0,2020-03-15
Washington,3/15/20,1,2020-03-15
West Virginia,3/15/20,0,2020-03-15
Wisconsin,3/15/20,0,2020-03-15
Wyoming,3/15/20,0,2020-03-15
Alabama,3/16/20,0,2020-03-16
Alaska,3/16/20,0,2020-03-16
American Samoa,3/16/20,0,2020-03-16
Arizona,3/16/20,0,2020-03-16
Arkansas,3/16/20,0,2020-03-16
California,3/16/20,0,2020-03-16
Colorado,3/16/20,0,2020-03-16
Connecticut,3/16/20,0,2020-03-16
Delaware,3/16/20,0,2020-03-16
Diamond Princess,3/16/20,0,2020-03-16
District of Columbia,3/16/20,0,2020-03-16
Florida,3/16/20,0,2020-03-16
Georgia,3/16/20,0,2020-03-16
Grand Princess,3/16/20,0,2020-03-16
Guam,3/16/20,0,2020-03-16
Hawaii,3/16/20,0,2020-03-16
Idaho,3/16/20,0,2020-03-16
Illinois,3/16/20,0,2020-03-16
Indiana,3/16/20,1,2020-03-16
Iowa,3/16/20,0,2020-03-16
Kansas,3/16/20,0,2020-03-16
Kentucky,3/16/20,1,2020-03-16
Louisiana,3/16/20,1,2020-03-16
Maine,3/16/20,0,2020-03-16
Maryland,3/16/20,0,2020-03-16
Massachusetts,3/16/20,0,2020-03-16
Michigan,3/16/20,0,2020-03-16
Minnesota,3/16/20,0,2020-03-16
Mississippi,3/16/20,0,2020-03-16
Missouri,3/16/20,0,2020-03-16
Montana,3/16/20,0,2020-03-16
Nebraska,3/16/20,0,2020-03-16
Nevada,3/16/20,1,2020-03-16
New Hampshire,3/16/20,0,2020-03-16
New Jersey,3/16/20,0,2020-03-16
New Mexico,3/16/20,0,2020-03-16
New York,3/16/20,11,2020-03-16
North Carolina,3/16/20,0,2020-03-16
North Dakota,3/16/20,0,2020-03-16
Northern Mariana Islands,3/16/20,0,2020-03-16
Ohio,3/16/20,0,2020-03-16
Oklahoma,3/16/20,0,2020-03-16
Oregon,3/16/20,0,2020-03-16
Pennsylvania,3/16/20,0,2020-03-16
Puerto Rico,3/16/20,0,2020-03-16
Rhode Island,3/16/20,0,2020-03-16
South Carolina,3/16/20,1,2020-03-16
South Dakota,3/16/20,0,2020-03-16
Tennessee,3/16/20,0,2020-03-16
Texas,3/16/20,0,2020-03-16
Utah,3/16/20,0,2020-03-16
Vermont,3/16/20,0,2020-03-16
Virgin Islands,3/16/20,0,2020-03-16
Virginia,3/16/20,1,2020-03-16
Washington,3/16/20,8,2020-03-16
West Virginia,3/16/20,0,2020-03-16
Wisconsin,3/16/20,0,2020-03-16
Wyoming,3/16/20,0,2020-03-16
Alabama,3/17/20,0,2020-03-17
Alaska,3/17/20,0,2020-03-17
American Samoa,3/17/20,0,2020-03-17
Arizona,3/17/20,0,2020-03-17
Arkansas,3/17/20,0,2020-03-17
California,3/17/20,2,2020-03-17
Colorado,3/17/20,1,2020-03-17
Connecticut,3/17/20,0,2020-03-17
Delaware,3/17/20,0,2020-03-17
Diamond Princess,3/17/20,0,2020-03-17
District of Columbia,3/17/20,0,2020-03-17
Florida,3/17/20,2,2020-03-17
Georgia,3/17/20,0,2020-03-17
Grand Princess,3/17/20,0,2020-03-17
Guam,3/17/20,0,2020-03-17
Hawaii,3/17/20,0,2020-03-17
Idaho,3/17/20,0,2020-03-17
Illinois,3/17/20,1,2020-03-17
Indiana,3/17/20,2,2020-03-17
Iowa,3/17/20,0,2020-03-17
Kansas,3/17/20,0,2020-03-17
Kentucky,3/17/20,0,2020-03-17
Louisiana,3/17/20,1,2020-03-17
Maine,3/17/20,0,2020-03-17
Maryland,3/17/20,0,2020-03-17
Massachusetts,3/17/20,0,2020-03-17
Michigan,3/17/20,0,2020-03-17
Minnesota,3/17/20,0,2020-03-17
Mississippi,3/17/20,0,2020-03-17
Missouri,3/17/20,0,2020-03-17
Montana,3/17/20,0,2020-03-17
Nebraska,3/17/20,0,2020-03-17
Nevada,3/17/20,0,2020-03-17
New Hampshire,3/17/20,0,2020-03-17
New Jersey,3/17/20,2,2020-03-17
New Mexico,3/17/20,0,2020-03-17
New York,3/17/20,14,2020-03-17
North Carolina,3/17/20,0,2020-03-17
North Dakota,3/17/20,0,2020-03-17
Northern Mariana Islands,3/17/20,0,2020-03-17
Ohio,3/17/20,2,2020-03-17
Oklahoma,3/17/20,0,2020-03-17
Oregon,3/17/20,0,2020-03-17
Pennsylvania,3/17/20,0,2020-03-17
Puerto Rico,3/17/20,0,2020-03-17
Rhode Island,3/17/20,0,2020-03-17
South Carolina,3/17/20,0,2020-03-17
South Dakota,3/17/20,0,2020-03-17
Tennessee,3/17/20,0,2020-03-17
Texas,3/17/20,2,2020-03-17
Utah,3/17/20,0,2020-03-17
Vermont,3/17/20,0,2020-03-17
Virgin Islands,3/17/20,0,2020-03-17
Virginia,3/17/20,0,2020-03-17
Washington,3/17/20,7,2020-03-17
West Virginia,3/17/20,0,2020-03-17
Wisconsin,3/17/20,0,2020-03-17
Wyoming,3/17/20,0,2020-03-17
Alabama,3/18/20,0,2020-03-18
Alaska,3/18/20,0,2020-03-18
American Samoa,3/18/20,0,2020-03-18
Arizona,3/18/20,0,2020-03-18
Arkansas,3/18/20,0,2020-03-18
California,3/18/20,8,2020-03-18
Colorado,3/18/20,0,2020-03-18
Connecticut,3/18/20,1,2020-03-18
Delaware,3/18/20,0,2020-03-18
Diamond Princess,3/18/20,0,2020-03-18
District of Columbia,3/18/20,0,2020-03-18
Florida,3/18/20,2,2020-03-18
Georgia,3/18/20,2,2020-03-18
Grand Princess,3/18/20,0,2020-03-18
Guam,3/18/20,0,2020-03-18
Hawaii,3/18/20,0,2020-03-18
Idaho,3/18/20,0,2020-03-18
Illinois,3/18/20,0,2020-03-18
Indiana,3/18/20,1,2020-03-18
Iowa,3/18/20,0,2020-03-18
Kansas,3/18/20,0,2020-03-18
Kentucky,3/18/20,0,2020-03-18
Louisiana,3/18/20,2,2020-03-18
Maine,3/18/20,0,2020-03-18
Maryland,3/18/20,0,2020-03-18
Massachusetts,3/18/20,0,2020-03-18
Michigan,3/18/20,1,2020-03-18
Minnesota,3/18/20,0,2020-03-18
Mississippi,3/18/20,0,2020-03-18
Missouri,3/18/20,1,2020-03-18
Montana,3/18/20,0,2020-03-18
Nebraska,3/18/20,0,2020-03-18
Nevada,3/18/20,0,2020-03-18
New Hampshire,3/18/20,0,2020-03-18
New Jersey,3/18/20,3,2020-03-18
New Mexico,3/18/20,0,2020-03-18
New York,3/18/20,25,2020-03-18
North Carolina,3/18/20,0,2020-03-18
North Dakota,3/18/20,0,2020-03-18
Northern Mariana Islands,3/18/20,0,2020-03-18
Ohio,3/18/20,1,2020-03-18
Oklahoma,3/18/20,0,2020-03-18
Oregon,3/18/20,2,2020-03-18
Pennsylvania,3/18/20,1,2020-03-18
Puerto Rico,3/18/20,0,2020-03-18
Rhode Island,3/18/20,0,2020-03-18
South Carolina,3/18/20,0,2020-03-18
South Dakota,3/18/20,0,2020-03-18
Tennessee,3/18/20,0,2020-03-18
Texas,3/18/20,3,2020-03-18
Utah,3/18/20,0,2020-03-18
Vermont,3/18/20,0,2020-03-18
Virgin Islands,3/18/20,0,2020-03-18
Virginia,3/18/20,0,2020-03-18
Washington,3/18/20,12,2020-03-18
West Virginia,3/18/20,0,2020-03-18
Wisconsin,3/18/20,0,2020-03-18
Wyoming,3/18/20,0,2020-03-18
Alabama,3/19/20,0,2020-03-19
Alaska,3/19/20,0,2020-03-19
American Samoa,3/19/20,0,2020-03-19
Arizona,3/19/20,0,2020-03-19
Arkansas,3/19/20,0,2020-03-19
California,3/19/20,4,2020-03-19
Colorado,3/19/20,2,2020-03-19
Connecticut,3/19/20,2,2020-03-19
Delaware,3/19/20,0,2020-03-19
Diamond Princess,3/19/20,0,2020-03-19
District of Columbia,3/19/20,0,2020-03-19
Florida,3/19/20,2,2020-03-19
Georgia,3/19/20,7,2020-03-19
Grand Princess,3/19/20,1,2020-03-19
Guam,3/19/20,0,2020-03-19
Hawaii,3/19/20,0,2020-03-19
Idaho,3/19/20,0,2020-03-19
Illinois,3/19/20,3,2020-03-19
Indiana,3/19/20,0,2020-03-19
Iowa,3/19/20,0,2020-03-19
Kansas,3/19/20,0,2020-03-19
Kentucky,3/19/20,1,2020-03-19
Louisiana,3/19/20,4,2020-03-19
Maine,3/19/20,0,2020-03-19
Maryland,3/19/20,1,2020-03-19
Massachusetts,3/19/20,0,2020-03-19
Michigan,3/19/20,0,2020-03-19
Minnesota,3/19/20,0,2020-03-19
Mississippi,3/19/20,1,2020-03-19
Missouri,3/19/20,0,2020-03-19
Montana,3/19/20,0,2020-03-19
Nebraska,3/19/20,0,2020-03-19
Nevada,3/19/20,0,2020-03-19
New Hampshire,3/19/20,0,2020-03-19
New Jersey,3/19/20,6,2020-03-19
New Mexico,3/19/20,0,2020-03-19
New York,3/19/20,28,2020-03-19
North Carolina,3/19/20,0,2020-03-19
North Dakota,3/19/20,0,2020-03-19
Northern Mariana Islands,3/19/20,0,2020-03-19
Ohio,3/19/20,0,2020-03-19
Oklahoma,3/19/20,1,2020-03-19
Oregon,3/19/20,0,2020-03-19
Pennsylvania,3/19/20,0,2020-03-19
Puerto Rico,3/19/20,0,2020-03-19
Rhode Island,3/19/20,1,2020-03-19
South Carolina,3/19/20,0,2020-03-19
South Dakota,3/19/20,0,2020-03-19
Tennessee,3/19/20,0,2020-03-19
Texas,3/19/20,0,2020-03-19
Utah,3/19/20,0,2020-03-19
Vermont,3/19/20,2,2020-03-19
Virgin Islands,3/19/20,0,2020-03-19
Virginia,3/19/20,0,2020-03-19
Washington,3/19/20,6,2020-03-19
West Virginia,3/19/20,0,2020-03-19
Wisconsin,3/19/20,3,2020-03-19
Wyoming,3/19/20,0,2020-03-19
Alabama,3/20/20,0,2020-03-20
Alaska,3/20/20,0,2020-03-20
American Samoa,3/20/20,0,2020-03-20
Arizona,3/20/20,0,2020-03-20
Arkansas,3/20/20,0,2020-03-20
California,3/20/20,3,2020-03-20
Colorado,3/20/20,0,2020-03-20
Connecticut,3/20/20,1,2020-03-20
Delaware,3/20/20,0,2020-03-20
Diamond Princess,3/20/20,0,2020-03-20
District of Columbia,3/20/20,1,2020-03-20
Florida,3/20/20,2,2020-03-20
Georgia,3/20/20,4,2020-03-20
Grand Princess,3/20/20,0,2020-03-20
Guam,3/20/20,0,2020-03-20
Hawaii,3/20/20,0,2020-03-20
Idaho,3/20/20,0,2020-03-20
Illinois,3/20/20,1,2020-03-20
Indiana,3/20/20,4,2020-03-20
Iowa,3/20/20,0,2020-03-20
Kansas,3/20/20,0,2020-03-20
Kentucky,3/20/20,0,2020-03-20
Louisiana,3/20/20,4,2020-03-20
Maine,3/20/20,0,2020-03-20
Maryland,3/20/20,1,2020-03-20
Massachusetts,3/20/20,1,2020-03-20
Michigan,3/20/20,1,2020-03-20
Minnesota,3/20/20,0,2020-03-20
Mississippi,3/20/20,0,2020-03-20
Missouri,3/20/20,2,2020-03-20
Montana,3/20/20,0,2020-03-20
Nebraska,3/20/20,0,2020-03-20
Nevada,3/20/20,1,2020-03-20
New Hampshire,3/20/20,0,2020-03-20
New Jersey,3/20/20,3,2020-03-20
New Mexico,3/20/20,0,2020-03-20
New York,3/20/20,55,2020-03-20
North Carolina,3/20/20,0,2020-03-20
North Dakota,3/20/20,0,2020-03-20
Northern Mariana Islands,3/20/20,0,2020-03-20
Ohio,3/20/20,5,2020-03-20
Oklahoma,3/20/20,0,2020-03-20
Oregon,3/20/20,0,2020-03-20
Pennsylvania,3/20/20,0,2020-03-20
Puerto Rico,3/20/20,0,2020-03-20
Rhode Island,3/20/20,0,2020-03-20
South Carolina,3/20/20,2,2020-03-20
South Dakota,3/20/20,0,2020-03-20
Tennessee,3/20/20,1,2020-03-20
Texas,3/20/20,2,2020-03-20
Utah,3/20/20,0,2020-03-20
Vermont,3/20/20,0,2020-03-20
Virgin Islands,3/20/20,0,2020-03-20
Virginia,3/20/20,0,2020-03-20
Washington,3/20/20,10,2020-03-20
West Virginia,3/20/20,0,2020-03-20
Wisconsin,3/20/20,1,2020-03-20
Wyoming,3/20/20,0,2020-03-20
Alabama,3/21/20,0,2020-03-21
Alaska,3/21/20,0,2020-03-21
American Samoa,3/21/20,0,2020-03-21
Arizona,3/21/20,1,2020-03-21
Arkansas,3/21/20,0,2020-03-21
California,3/21/20,3,2020-03-21
Colorado,3/21/20,1,2020-03-21
Connecticut,3/21/20,0,2020-03-21
Delaware,3/21/20,0,2020-03-21
Diamond Princess,3/21/20,0,2020-03-21
District of Columbia,3/21/20,1,2020-03-21
Florida,3/21/20,2,2020-03-21
Georgia,3/21/20,6,2020-03-21
Grand Princess,3/21/20,0,2020-03-21
Guam,3/21/20,0,2020-03-21
Hawaii,3/21/20,0,2020-03-21
Idaho,3/21/20,0,2020-03-21
Illinois,3/21/20,1,2020-03-21
Indiana,3/21/20,5,2020-03-21
Iowa,3/21/20,0,2020-03-21
Kansas,3/21/20,1,2020-03-21
Kentucky,3/21/20,1,2020-03-21
Louisiana,3/21/20,6,2020-03-21
Maine,3/21/20,0,2020-03-21
Maryland,3/21/20,0,2020-03-21
Massachusetts,3/21/20,0,2020-03-21
Michigan,3/21/20,3,2020-03-21
Minnesota,3/21/20,1,2020-03-21
Mississippi,3/21/20,0,2020-03-21
Missouri,3/21/20,0,2020-03-21
Montana,3/21/20,0,2020-03-21
Nebraska,3/21/20,0,2020-03-21
Nevada,3/21/20,0,2020-03-21
New Hampshire,3/21/20,0,2020-03-21
New Jersey,3/21/20,6,2020-03-21
New Mexico,3/21/20,0,2020-03-21
New York,3/21/20,52,2020-03-21
North Carolina,3/21/20,0,2020-03-21
North Dakota,3/21/20,0,2020-03-21
Northern Mariana Islands,3/21/20,0,2020-03-21
Ohio,3/21/20,0,2020-03-21
Oklahoma,3/21/20,0,2020-03-21
Oregon,3/21/20,1,2020-03-21
Pennsylvania,3/21/20,1,2020-03-21
Puerto Rico,3/21/20,1,2020-03-21
Rhode Island,3/21/20,0,2020-03-21
South Carolina,3/21/20,0,2020-03-21
South Dakota,3/21/20,0,2020-03-21
Tennessee,3/21/20,0,2020-03-21
